dateandtime,where,totalpriceusd,month,day,year
20-03-2022_13:16,Amazon,24.76,MAR,20,2022
21-04-2022_11:16,StopandShop,34.24,APR,21,2022
21-04-2022_12:16,Steam,3.94,APR,21,2022
05-05-2022_14:16,MagicPay Merchant,3.17,MAY,5,2022
22-05-2022_09:08,Starbucks,1.81,MAY,19,2022
22-05-2022_09:08,Starbucks,9.0,MAY,21,2022
22-05-2022_09:14,Starbucks,5.32,MAY,21,2022
22-05-2022_16:37,George Howel| Coffee,4.81,MAY,22,2022
22-05-2022_16:38,MagicPay Merchant,3.17,MAY,22,2022
22-05-2022_16:47,George Howel| Coffee,4.81,MAY,22,2022
